#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2009-01-26T15:38:35
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx4430	
#INFO	-out.max=50000	

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F10.6)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#_RAJ2000	_DEJ2000	HIP	Vmag	B-V
#deg	deg		mag	mag
#----------	----------	------	-----	------
* V 10
  0.660208	 66.100399	   209	 7.20	 0.085
  0.667031	 51.472401	   213	 7.70	 1.003
  0.676883	 42.920649	   216	 7.94	 0.016
  0.674200	 82.973202	   217	 7.29	 0.118
  0.691781	 35.815467	   220	 7.52	 0.180
  0.693900	 80.282283	   221	 7.74	 0.483
  0.696563	  2.130155	   223	 7.17	 0.617
  0.710266	 28.251905	   228	 7.64	 0.532
  0.739534	-20.045882	   238	 6.25	 0.526
  0.752231	-34.743939	   242	 7.76	 0.967
  0.753349	-60.691901	   243	 7.82	 1.041
  0.758871	 39.995144	   244	 7.90	 0.668
  0.782730	-24.145146	   253	 6.46	 1.176
  0.784778	 42.747908	   254	 6.73	 0.051
  0.794664	-24.588258	   255	 7.96	 0.421
  0.805477	 17.552268	   258	 6.59	 1.122
  0.849868	 73.174497	   270	 7.36	 0.146
  0.857136	 63.640520	   274	 6.24	 0.332
  0.858060	 20.665530	   276	 7.49	 0.636
  0.859497	-36.251193	   277	 6.96	 0.353
  0.863115	 55.550900	   278	 7.94	-0.023
  0.876427	 19.381496	   282	 7.92	 1.408
  0.877118	 12.356821	   283	 7.45	 0.353
  0.889085	 42.352106	   288	 7.90	 1.071
  0.904380	-31.094137	   290	 7.78	 0.563
  0.917099	  3.906973	   294	 7.89	 0.401
  0.924352	 48.436907	   297	 6.80	 0.060
  0.935159	 42.023522	   300	 7.45	 0.244
  0.934958	-17.335988	   301	 4.55	-0.047
  0.965162	 66.712183	   302	 6.31	 1.629
  0.972308	-28.393812	   305	 7.66	 0.741
  0.983739	 14.378864	   308	 7.09	 0.303
  1.001041	 12.145797	   316	 7.26	 0.355
  1.003330	-80.395115	   317	 7.91	 0.314
  1.035105	 56.920983	   322	 7.65	 0.992
  1.042698	 49.870181	   323	 7.38	 1.003
  1.049592	-30.134913	   328	 7.09	-0.085
  1.056927	 62.287664	   330	 5.90	 0.274
  1.066632	 65.152987	   336	 7.59	 1.680
  1.082475	-16.529036	   343	 5.78	 1.084
  1.084656	-29.268822	   345	 6.38	 0.006
  1.088730	 54.274591	   347	 7.79	-0.089
  1.095452	-29.381573	   349	 7.77	-0.058
  1.125494	-10.509523	   355	 4.99	 1.619
  1.127288	-72.897321	   357	 7.33	 0.444
  1.152445	 42.092531	   365	 6.11	 0.159
  1.156126	  2.937228	   368	 7.90	 1.249
  1.159440	-51.583329	   370	 7.13	 1.260
  1.166203	-70.404260	   372	 7.46	 1.072
  1.166998	 34.265124	   374	 7.02	 1.100
  1.172117	-71.436891	   377	 5.59	-0.100
  1.171938	 14.965233	   378	 7.37	 0.422
  1.174922	 67.166445	   379	 5.68	 1.051
  1.216716	 30.085850	   392	 7.93	 0.478
  1.224001	 34.659797	   394	 6.09	 0.632
  1.224614	-31.996653	   396	 7.83	 1.256
  1.229069	 58.532167	   398	 6.61	 0.025
  1.233335	 26.648764	   399	 6.25	 1.368
  1.234671	 23.269629	   400	 7.82	 0.755
  1.239677	 45.673793	   404	 7.47	 0.550
  1.254955	 27.674784	   410	 6.47	 0.946
  1.260973	-36.015121	   413	 7.73	 0.537
  1.265928	 -0.503035	   417	 6.32	 1.099
  1.275625	 61.313970	   418	 5.80	-0.067
  1.281230	-52.151741	   420	 7.53	 0.577
  1.286805	 67.840004	   422	 7.41	 1.288
  1.288462	 30.329032	   423	 7.80	 0.437
  1.290659	 45.229029	   424	 6.71	 0.068
  1.292763	-32.468672	   430	 7.10	 1.128
  1.304188	 35.571012	   432	 6.88	 0.174
  1.326998	 -1.794085	   438	 7.95	 0.991
  1.333019	 68.884433	   440	 7.08	-0.006
  1.333196	-38.857152	   441	 6.93	 0.940
  1.333920	 -5.707618	   443	 4.61	 1.029
  1.340272	-56.955649	   445	 7.42	 0.191
  1.342608	-79.253752	   446	 7.71	 1.093
  1.342663	  3.606092	   448	 6.91	 1.120
  1.356105	 -3.851673	   453	 7.59	 1.045
  1.360079	-14.422192	   454	 7.39	 0.990
  1.365576	-37.302536	   456	 7.78	 1.123
  1.366746	-42.887387	   457	 7.47	 1.620
  1.367676	 -7.665420	   458	 6.97	 1.444
  1.371025	 34.105720	   461	 7.86	 0.494
  1.379847	 -9.617470	   462	 7.13	 0.446
  1.395542	 53.171694	   466	 7.23	 1.174
  1.398987	-61.309873	   468	 7.36	 0.993
  1.401078	-51.260491	   469	 7.36	 1.444
  1.415536	 55.709898	   472	 6.99	 1.187
  1.424839	 13.396266	   476	 5.55	 0.901
  1.435191	 17.840290	   482	 7.75	 0.414
  1.468935	-41.753068	   490	 7.51	 0.595
  1.478119	 18.235003	   493	 7.45	 0.596
  1.486381	 24.569005	   496	 6.90	 1.564
  1.487664	 49.622343	   497	 7.55	 0.300
  1.492801	 44.739381	   498	 7.93	 0.239
  1.502228	 28.276949	   502	 6.62	 1.531
  1.504406	 16.452078	   503	 7.89	 0.930
  1.513594	 24.916600	   504	 7.51	 1.112
  1.514109	 63.679656	   505	 7.36	 0.126
  1.517722	 40.418530	   508	 6.65	 0.912
  1.533478	  9.714938	   510	 7.80	 0.501
  1.537815	-29.151382	   512	 7.90	-0.030
  1.565893	 58.436733	   518	 5.98	 0.687
  1.570216	-64.240473	   519	 7.92	 0.459
  1.570594	-10.778477	   520	 7.60	 1.539
  1.579898	-49.075191	   522	 5.70	 0.519
  1.584200	 40.898746	   525	 6.93	 1.086
  1.584310	 60.457121	   526	 7.97	 0.256
  1.604043	-18.038252	   529	 7.31	 0.402
  1.610583	 64.196169	   531	 5.57	-0.023
  1.648084	 28.553404	   540	 6.68	 0.986
  1.653267	 29.021502	   544	 6.07	 0.752
  1.661884	-36.084770	   546	 7.71	 1.038
  1.708693	-23.107540	   560	 6.19	 0.386
  1.711315	 31.130423	   563	 7.93	 1.107
  1.722034	-38.877668	   567	 6.91	 1.123
  1.734737	-43.985229	   573	 7.62	 0.955
  1.767243	  6.875548	   581	 7.44	 0.203
  1.795902	 46.756978	   591	 7.92	 1.054
  1.806203	-76.730929	   596	 7.56	 0.419
  1.807445	 73.210297	   597	 7.88	 0.407
  1.810286	 20.555714	   598	 7.99	 1.441
  1.826111	-17.386990	   602	 6.20	 0.133
  1.826614	  7.703558	   603	 7.64	 0.493
  1.841916	-56.836907	   605	 7.48	 1.532
  1.843932	-25.356649	   606	 7.06	 0.463
  1.844014	 26.450601	   607	 7.33	 1.011
  1.867216	-56.011483	   612	 7.48	 0.466
  1.896593	 31.669001	   619	 6.87	 1.124
  1.904030	-86.038759	   620	 7.39	-0.018
  1.902436	-62.315095	   621	 7.50	 1.703
  1.905872	 52.772969	   622	 7.56	 0.900
  1.907102	 40.078498	   625	 7.39	 1.008
  1.908010	 40.147954	   626	 6.73	 0.951
  1.920664	-65.932428	   631	 6.83	 1.158
  1.929610	 37.185443	   634	 7.44	 0.478
  1.933805	 -2.548679	   635	 6.43	-0.146
  1.945416	-22.508560	   636	 5.93	 0.141
  1.962411	 38.721732	   640	 7.66	 0.181
  1.967024	 55.577041	   641	 7.82	 0.610
  1.997288	-18.684727	   646	 7.58	 1.271
  1.997456	-78.210991	   647	 7.79	 1.450
  2.001447	-78.598759	   648	 7.18	 0.156
  2.000980	 -7.544697	   649	 7.85	 0.505
  2.003174	 29.837513	   650	 7.54	 0.408
  2.007139	 31.391161	   652	 7.12	 0.184
  2.014531	-33.529326	   655	 5.67	 1.119
  2.039992	 31.378998	   659	 7.27	 0.207
  2.050401	 -2.447711	   664	 6.18	 1.366
  2.068178	-14.824492	   669	 7.04	 0.624
  2.073052	 -8.824112	   671	 5.99	 1.034
  2.096911	 29.090432	   677	 2.07	-0.038
  2.107273	  6.616805	   682	 7.59	 0.626
  2.115262	-24.093733	   688	 7.59	 0.508
  2.118610	 34.934547	   689	 7.41	 0.606
  2.125828	 52.336458	   691	 7.78	 0.358
  2.128710	 -6.792152	   692	 7.76	 1.618
  2.136899	 63.204040	   695	 6.41	 0.998
  2.139570	-17.578155	   696	 6.11	 1.664
  2.147457	 53.254100	   697	 7.76	 0.415
  2.161573	-74.238455	   698	 7.38	 1.326
  2.170576	 36.627125	   699	 6.21	 0.504
  2.179633	 -2.222583	   700	 7.05	 0.963
  2.183492	 74.214765	   701	 7.44	-0.006
  2.191149	 14.141976	   704	 7.84	 1.125
  2.192447	-34.794373	   706	 7.88	 0.473
  2.202071	-47.060773	   709	 7.81	 0.481
  2.203113	  8.021868	   710	 7.43	 0.296
  2.207886	 40.841019	   712	 7.58	 0.994
  2.208349	 40.494549	   714	 6.82	 1.568
  2.217236	 25.462985	   716	 6.24	 0.976
  2.217679	  0.692453	   717	 7.31	 1.430
  2.223519	-22.179518	   720	 7.13	 1.640
  2.246833	-21.206353	   724	 7.21	 1.087
  2.248662	-39.737159	   726	 7.72	 0.620
  2.250671	 28.247543	   728	 6.47	 0.242
  2.260103	 18.211963	   729	 5.57	 1.043
  2.259974	-54.001931	   730	 6.32	 0.738
  2.261173	-35.091879	   732	 7.78	 0.417
  2.265309	 40.842859	   737	 6.93	 0.800
  2.267958	 19.924689	   740	 7.11	 0.476
  2.285756	-50.166802	   744	 7.05	-0.122
  2.294521	 59.149780	   746	 2.28	 0.380
  2.315613	 25.281961	   754	 7.78	 0.680
  2.319803	 65.070892	   755	 7.02	 0.932
  2.331018	 17.533922	   759	 7.07	 0.644
  2.334065	 79.714545	   760	 6.01	 0.203
  2.337786	-27.987928	   761	 5.42	 0.414
  2.352675	-45.747426	   765	 3.88	 1.013
  2.364934	 46.387872	   767	 7.17	 0.031
  2.367304	 19.115793	   768	 7.94	 0.660
  2.366814	  1.244035	   769	 7.27	 1.220
  2.376761	-10.187542	   771	 7.94	 1.439
  2.379252	 19.559094	   773	 7.59	 1.005
  2.422280	-63.589789	   785	 7.40	 1.571
  2.467156	-62.296794	   798	 6.34	 0.164
  2.468433	 51.423020	   800	 7.93	 1.301
  2.479152	  4.832508	   802	 7.77	 1.219
  2.479252	 -2.561266	   803	 6.84	 1.611
  2.486554	-44.666440	   805	 7.19	 0.974
  2.492244	-65.357110	   809	 7.93	 0.964
  2.496250	-25.874708	   810	 7.66	 0.139
  2.509176	 11.145813	   813	 5.54	-0.064
  2.509065	-82.224047	   814	 5.29	 1.049
  2.513304	 46.390314	   817	 7.51	 0.251
  2.513868	 -8.974153	   818	 7.10	 0.345
  2.518572	-79.001848	   819	 7.88	 0.476
  2.522879	 25.197908	   824	 7.77	 1.603
  2.533404	-78.300717	   829	 6.97	 1.377
  2.558758	 60.026047	   836	 7.83	 1.311
  2.568594	 52.255137	   838	 7.20	-0.053
  2.578624	 -5.248588	   840	 5.84	 0.973
  2.580191	 46.072272	   841	 5.01	 0.405
  2.600382	 58.489480	   848	 7.74	 0.473
  2.611494	 28.652881	   852	 7.11	 1.528
  2.620810	 51.912346	   855	 7.75	 1.487
  2.623670	 57.165495	   857	 6.74	-0.074
  2.634995	 33.130884	   858	 6.83	 1.429
  2.642649	 52.316709	   859	 7.70	 0.144
  2.644417	 59.673407	   860	 6.70	-0.017
  2.660646	-73.224389	   865	 6.66	 0.372
  2.669682	  2.055542	   870	 7.51	 0.503
  2.678478	-12.579897	   873	 5.84	 1.000
  2.688099	 58.018308	   874	 7.85	 0.099
  2.693519	-21.933595	   878	 7.68	 1.028
  2.695251	 37.473902	   880	 7.77	 0.405
  2.695421	-34.860715	   881	 6.89	 0.951
  2.696665	 32.242575	   882	 7.55	 1.354
  2.702021	 30.685622	   886	 7.91	 0.024
  2.722855	-13.902804	   887	 7.71	 1.253
  2.737226	 -2.074563	   892	 7.93	 1.096
  2.741449	-18.572934	   893	 7.78	 1.302
  2.773524	  4.133093	   900	 7.44	 0.998
  2.782727	 57.587941	   902	 6.68	 1.212
  2.790194	 -3.321389	   906	 6.74	 1.025
  2.815303	  7.948144	   909	 7.69	 1.163
  2.816072	-15.467977	   910	 4.89	 0.487
  2.824381	-40.372691	   913	 7.70	 1.200
  2.842455	 74.484543	   918	 7.15	 1.004
  2.843492	 30.449575	   919	 7.95	 0.755
  2.879690	 40.398952	   926	 7.47	 1.532
  2.881469	-34.460093	   928	 7.75	 1.152
  2.893417	-27.799737	   930	 5.41	 1.346
  2.896708	 -3.078025	   931	 7.56	 0.551
  2.897184	-18.600657	   932	 6.93	 0.994
  2.901749	-23.632360	   937	 7.85	 0.561
  2.902899	-80.173734	   938	 7.21	 0.916
  2.904778	 58.211830	   940	 7.09	 0.137
  2.908696	-49.656027	   944	 7.91	 1.126
  2.912237	 55.961461	   945	 7.47	 0.200
  2.933369	-35.133120	   950	 5.24	 0.459
  2.936428	 57.271520	   951	 7.06	 0.630
  2.948043	  9.139963	   954	 7.45	 0.891
  2.958856	 28.423347	   956	 7.51	 0.491
  2.960210	 66.126345	   957	 7.32	 0.038
  2.978317	-22.817689	   964	 7.91	 0.392
  2.980730	-75.476828	   965	 7.49	 1.600
  2.983569	-42.172144	   966	 6.53	 1.041
  2.996188	 48.152396	   967	 6.18	 1.467
  3.005730	 23.471749	   969	 6.58	 0.990
  3.005817	-54.750881	   970	 7.80	 1.634
  3.006039	 28.606500	   971	 7.19	 0.398
  3.012587	-13.813179	   973	 6.56	 1.074
  3.021916	-58.525166	   975	 7.62	 0.758
  3.028442	 47.491101	   980	 7.36	 1.082
  3.033702	 53.623888	   981	 6.87	 0.262
  3.036463	 48.182251	   982	 7.60	 1.314
  3.041608	-17.938278	   983	 5.29	 1.478
  3.058070	 39.901578	   986	 7.43	 0.335
  3.065819	 43.818205	   988	 7.95	 1.537
  3.066149	 22.556735	   989	 7.69	 1.709
  3.141496	-88.362869	  1007	 7.22	 0.054
  3.140106	 44.590743	  1008	 7.44	 1.522
  3.142354	 44.707195	  1009	 6.50	 1.112
  3.149244	 44.316313	  1011	 7.01	 1.106
  3.162187	-26.853062	  1013	 7.95	 0.945
  3.168066	 -1.227195	  1018	 7.22	 1.051
  3.169106	-43.164490	  1019	 7.53	 0.980
  3.188484	 57.227541	  1023	 7.34	 1.639
  3.200179	 46.095405	  1026	 6.63	 0.402
  3.209353	 37.693656	  1030	 6.71	-0.116
  3.209376	-57.912610	  1031	 7.22	 0.775
  3.229746	 -3.381546	  1033	 7.37	 1.619
  3.251454	 55.859006	  1039	 7.94	 0.501
  3.255021	 62.728080	  1042	 7.80	 1.099
  3.257506	 49.926524	  1043	 7.17	 0.202
  3.266321	-22.470173	  1046	 6.66	 0.961
  3.267833	 35.291547	  1048	 7.69	 0.958
  3.269256	 37.418614	  1049	 7.62	 1.217
  3.284541	 -7.682486	  1053	 7.58	 1.097
  3.289598	 16.921456	  1057	 6.52	 1.050
  3.291828	-43.065172	  1058	 7.57	 0.453
  3.303043	 62.040878	  1063	 6.63	 0.226
  3.306929	-17.184679	  1065	 7.55	 1.240
  3.307528	-37.822873	  1066	 7.21	 1.530
  3.308970	 15.183596	  1067	 2.83	-0.190
  3.314450	-26.325331	  1069	 7.44	 1.279
  3.323649	-23.732510	  1071	 7.98	 0.396
  3.326329	-20.618703	  1072	 7.45	 0.480
  3.330676	  8.929866	  1073	 7.72	 0.333
  3.331758	-84.993978	  1074	 5.78	 1.710
  3.335575	 49.723376	  1075	 7.32	 0.061
  3.349679	 26.987545	  1076	 6.24	 0.680
  3.378502	 41.035370	  1086	 5.71	 0.331
  3.404008	 47.193268	  1090	 7.98	 0.214
  3.411074	 42.949390	  1093	 7.26	 1.257
  3.426020	-26.022345	  1096	 5.94	 1.548
  3.434906	-26.284959	  1099	 6.14	 1.490
  3.437866	-48.684187	  1101	 6.97	 0.180
  3.439577	-23.214784	  1102	 6.86	 1.096
  3.440436	  8.193504	  1103	 7.41	 0.440
  3.448231	  1.383586	  1107	 6.79	 1.257
  3.471176	-56.999680	  1114	 7.15	 0.513
  3.481679	-17.545369	  1115	 7.39	-0.165
  3.484142	 59.999319	  1118	 6.91	 1.120
  3.505124	 -3.908824	  1120	 7.41	 0.947
  3.509505	 33.206039	  1123	 6.22	 0.009
  3.510872	 76.026999	  1124	 7.17	 1.626
  3.517369	-74.912002	  1126	 6.97	 1.341
  3.527607	 60.720352	  1132	 7.70	 0.661
  3.537624	 26.258798	  1133	 7.00	 0.534
  3.542725	 -7.199124	  1134	 7.32	 0.521
  3.555147	-35.808402	  1138	 7.84	 1.195
  3.560122	 55.283235	  1139	 7.70	 1.468
  3.561281	-55.069662	  1140	 6.66	 0.462
  3.569235	 -8.832541	  1141	 7.99	 1.145
  3.580005	 52.860980	  1143	 7.84	 0.035
  3.584179	-27.531430	  1144	 7.42	 0.640
  3.586731	-62.771952	  1146	 6.63	 1.697
  3.586667	-21.196962	  1147	 6.89	 0.502
  3.593235	 76.022167	  1150	 7.72	 1.029
  3.601931	 -2.197997	  1153	 7.19	 1.340
  3.615118	 -7.780532	  1158	 5.13	 1.601
  3.616761	-14.431785	  1161	 6.95	 0.494
  3.640569	 41.032642	  1164	 6.68	 1.172
  3.650685	 20.206702	  1168	 4.79	 1.572
  3.652350	  1.296839	  1169	 7.03	 0.461
  3.660067	-18.932866	  1170	 4.44	 1.640
  3.668596	-14.805240	  1176	 6.63	 1.030
  3.670673	-12.748218	  1177	 7.92	 1.200
  3.684599	-46.033415	  1181	 7.13	 1.170
  3.700873	-14.177699	  1185	 6.82	 0.257
  3.727145	 -9.569571	  1191	 5.77	-0.084
  3.732344	 -3.027412	  1192	 6.64	 1.499
  3.732913	 22.284225	  1193	 6.25	-0.004
  3.734696	 21.542112	  1194	 7.06	 1.000
  3.742759	-34.904223	  1195	 6.17	 1.344
  3.745164	  8.820962	  1196	 6.02	 0.312
  3.746911	  8.818271	  1197	 7.58	 0.396
  3.757930	 54.078441	  1202	 7.68	 1.188
  3.766673	 52.639601	  1204	 7.67	-0.086
  3.778242	 33.030459	  1207	 7.34	 1.020
  3.778960	 31.535725	  1208	 6.34	 1.555
  3.788304	 34.868176	  1211	 7.99	 0.389
  3.794018	 27.283440	  1215	 6.35	-0.002
  3.812862	-40.095977	  1225	 7.50	 1.032
  3.817778	 -6.138214	  1230	 7.75	 1.015
  3.818324	-16.756248	  1231	 7.67	 0.417
  3.824303	 44.203397	  1233	 6.76	-0.046
  3.839789	 28.587169	  1234	 7.33	 0.441
  3.842771	-32.045274	  1236	 7.89	 1.080
  3.872433	-40.454696	  1243	 7.65	 1.184
  3.885370	 13.419408	  1245	 7.87	 1.600
  3.890458	 50.050304	  1247	 7.45	 1.620
  3.910945	  5.843847	  1249	 6.98	 1.151
  3.952552	 59.440263	  1259	 7.90	 0.045
  3.965091	 -5.601215	  1265	 7.48	 0.949
  3.978724	-75.911615	  1268	 6.49	 0.983
  3.978527	 61.000172	  1269	 6.43	 0.838
  3.988761	  4.251116	  1272	 7.13	 0.046
  4.022573	  8.115541	  1286	 7.59	 0.323
  4.036943	-31.446394	  1288	 5.66	 1.350
  4.052823	-79.851182	  1292	 6.59	 0.749
  4.058066	 76.950755	  1296	 6.35	-0.044
  4.089705	 43.595049	  1302	 6.12	 0.068
  4.097738	-22.588015	  1306	 7.90	 0.673
  4.100111	-43.780136	  1307	 7.88	 1.287
  4.101604	-70.392369	  1309	 7.18	 0.251
  4.107123	 53.945641	  1310	 7.22	 1.025
  4.131199	-66.690074	  1312	 7.74	 1.167
  4.134816	-55.469563	  1314	 7.81	 0.933
  4.135268	-32.760428	  1315	 7.34	 1.201
  4.141593	-13.403904	  1318	 7.15	 0.222
  4.141836	  8.240154	  1319	 6.12	 0.919
  4.164262	  1.850607	  1325	 6.98	 1.600
  4.173528	 54.660146	  1329	 7.43	 0.266
  4.175268	-32.688435	  1330	 6.67	 1.077
  4.176430	-20.210061	  1331	 6.50	-0.108
  4.179271	 36.629812	  1333	 6.99	 0.050
  4.185540	 36.491502	  1336	 7.74	 0.472
  4.190325	 10.244778	  1339	 6.51	 1.864
  4.190248	 13.916805	  1340	 7.46	 0.167
  4.201574	-78.780154	  1342	 6.78	 0.451
  4.215608	 46.614272	  1346	 7.18	 1.071
  4.224562	-52.651149	  1349	 6.84	 0.655
  4.224824	 49.461915	  1352	 6.52	 1.775
  4.229162	 23.256193	  1353	 6.95	 1.060
  4.237681	 61.533186	  1354	 5.74	 0.898
  4.238996	 63.552985	  1355	 7.88	 0.075
  4.239811	-58.151933	  1356	 7.65	 1.122
  4.250810	 53.243268	  1357	 7.75	-0.013
  4.262245	 84.955056	  1359	 7.80	 0.204
  4.270284	 56.909572	  1363	 7.61	 0.053
  4.272909	 38.681636	  1366	 4.61	 0.059
  4.273596	 31.074180	  1367	 7.63	 1.665
  4.287682	 47.947405	  1372	 5.86	-0.079
  4.301876	 23.597609	  1377	 7.90	 0.097
  4.316090	 54.980713	  1381	 7.93	 0.046
  4.318867	-43.852734	  1382	 7.96	 0.651
  4.352283	  8.876517	  1392	 6.66	 0.589
  4.369884	  0.321237	  1397	 7.71	 0.599
  4.386263	-19.051092	  1402	 6.46	 0.386
  4.387781	 36.550420	  1403	 7.57	 0.958
  4.411208	 44.744901	  1409	 7.89	 0.020
  4.421290	-60.799243	  1413	 7.67	 0.271
  4.429424	 51.433090	  1415	 6.11	-0.151
  4.436755	 53.711235	  1417	 7.88	 1.400
  4.446472	-66.358906	  1419	 7.79	 0.772
  4.448741	  1.688727	  1421	 6.19	 0.937
  4.451557	 -1.862735	  1424	 7.10	 0.900
  4.455130	-79.232390	  1425	 7.92	 0.621
  4.458258	 16.331014	  1427	 7.21	 0.477
  4.459909	 59.057587	  1428	 7.71	-0.041
  4.463505	 20.226994	  1429	 6.91	 1.585
  4.470130	 44.577946	  1434	 7.38	 1.029
  4.470264	  7.866043	  1435	 7.53	 0.312
  4.484608	 12.771466	  1439	 6.54	 0.970
  4.495296	-13.455640	  1444	 6.51	 0.599
  4.497817	 40.746747	  1445	 7.71	 1.382
  4.532860	  3.796763	  1455	 7.20	 0.309
  4.538401	 46.214313	  1456	 6.83	 1.319
